full_name,categories
com.google.android.youtube,nan
us.zoom.videomeetings,nan
com.android.settings,instrumental
com.openlattice.chronicle,nan
com.google.android.music,nan
com.snapchat.android,nan
com.netflix.mediaclient,streaming
com.sec.android.daemonapp,nan
com.android.systemui,instrumental
com.facebook.orca,socialmedia
com.twitter.android,socialmedia
com.google.android.googlequicksearchbox,nan
com.facebook.katana,socialmedia
com.sec.android.app.launcher,nan
com.atomic.apps.ringtone.cutter,nan
com.samsung.android.calendar,nan
com.samsung.android.messaging,nan
com.instagram.android,socialmedia
com.samsung.android.incallui,nan
com.samsung.android.contacts,nan
com.google.android.gm,nan
com.android.chrome,entertainment
com.android.vending,shopping
com.google.android.packageinstaller,nan
com.Slack,nan
com.google.android.deskclock,nan
com.amazon.mShop.android.shopping,nan
com.android.emergency,nan
com.nest.android,nan
com.chatbooks,nan
com.zulily.android,nan
co.happybits.marcopolo,nan
com.orbital.brainiton,nan
com.google.android.apps.maps,nan
com.google.android.play.games,nan
com.eyewind.colorfit.mandala,nan
com.pinterest,nan
com.google.android.talk,nan
com.flyfrontier.android,nan
com.google.android.apps.docs.editors.docs,nan
com.google.android.calendar,nan
com.google.android.gms,nan
com.google.android.apps.photos,nan
com.nextdoor,nan
com.southwestairlines.mobile,nan
com.fandango.regal,nan
com.google.android.calculator,nan
android,nan
com.google.android.GoogleCamera,nan
com.google.android.apps.tycho,nan
com.spotify.music,nan
com.easybrain.sudoku.android,nan
com.google.android.dialer,nan
com.google.android.apps.genie.geniewidget,nan
lemmingsatwork.quiz,nan
com.trello,nan
com.android.cellbroadcastreceiver,nan
com.circle38.photocircle,nan
com.aromatools.messentials,nan
com.amazon.clouddrive.photos,nan
com.harkinstheatres.android.showtimeapp,nan
com.airbnb.android,shopping
com.amazon.now,shopping
com.android.keychain,instrumental
com.android.providers.settings,instrumental
com.android.server.telecom,communication
com.google.android.apps.inbox,email
com.google.apps.maps,instrumental
